set_id,level,category,target_sentence,hint_ja,subject_id,verb_id,complement_id,visual_theme,difficulty_score
54,advanced,complex,I have been to Tokyo,私は東京に行ったことがあります,109,112,Tokyo,experience,5
55,advanced,complex,She has gone home,彼女は家に帰りました,110,113,home,completion,5

56,advanced,complex,I like cats and dogs,私は猫と犬が好きです,117,cats_dogs,combination,4
57,advanced,complex,He is smart but lazy,彼は賢いですが怠け者です,118,contrast,contrast,5
58,advanced,complex,You can walk or run,あなたは歩くか走ることができます,119,exercise,choice,4
59,advanced,complex,We study because we want to learn,私たちは学びたいので勉強します,120,education,reason,6
60,advanced,complex,When I was young I played soccer,私が若い時サッカーをしました,121,youth_sports,time_clause,6
61,advanced,complex,If you study hard you will pass,一生懸命勉強すれば合格するでしょう,122,success,condition,6
62,advanced,complex,I think that he is kind,彼は親切だと思います,123,personality,opinion,5
63,advanced,complex,The book which I read was interesting,私が読んだ本は面白かったです,124,reading,relative,7
64,advanced,complex,The person who helped me was nice,私を助けてくれた人は親切でした,125,kindness,relative,7
65,advanced,complex,I have already finished,私はすでに終えました,126,completion,perfect,5

66,advanced,complex,She hasn't come yet,彼女はまだ来ていません,127,waiting,perfect_negative,5
67,advanced,complex,We just arrived,私たちはちょうど到着しました,128,arrival,perfect_recent,4
68,advanced,complex,I never eat meat,私は肉を決して食べません,129,diet,frequency,4
69,advanced,complex,They always help others,彼らはいつも他人を助けます,130,kindness,frequency,4
70,advanced,complex,This car is bigger than that one,この車はあの車より大きいです,131,comparison,comparative,5
71,advanced,complex,She is better at English,彼女は英語がより得意です,132,skill,comparative,5
72,advanced,complex,This is more beautiful than before,これは以前よりも美しいです,133,beauty,comparative,6
73,advanced,complex,He is the biggest in the class,彼はクラスで最も大きいです,134,class,superlative,6
74,advanced,complex,This is the best solution,これが最良の解決策です,135,problem_solving,superlative,6
75,advanced,complex,She is the most beautiful girl,彼女は最も美しい女の子です,136,beauty,superlative,7
