id,level,eiken_level,category,type,word,color,position,japanese,hint,difficulty_score
59,intermediate,4,question,question,Who,yellow,subject,誰,疑問詞,2
60,intermediate,4,question,question,Why,yellow,subject,なぜ,疑問詞,3
61,intermediate,4,question,question,How,yellow,subject,どのように,疑問詞,3

62,intermediate,4,question,auxiliary,do,yellow,verb,する（助動詞）,疑問文用助動詞,2
63,intermediate,4,question,auxiliary,does,yellow,verb,する（助動詞）,三人称単数用,3
64,intermediate,4,question,auxiliary,did,yellow,verb,した（助動詞）,過去形用,4
65,intermediate,4,question,auxiliary,don't,yellow,verb,しない,否定形,3
66,intermediate,4,question,auxiliary,doesn't,yellow,verb,しない,三人称単数否定,4
67,intermediate,4,question,auxiliary,didn't,yellow,verb,しなかった,過去否定,4

68,intermediate,4,question,be-verb,am,yellow,verb,です,疑問文Be動詞,2
69,intermediate,4,question,be-verb,is,yellow,verb,です,疑問文Be動詞,2
70,intermediate,4,question,be-verb,are,yellow,verb,です,疑問文Be動詞,2

71,intermediate,4,question,noun,your name,yellow,object,あなたの名前,疑問文の補語,3
72,intermediate,4,question,noun,the time,yellow,object,時間,疑問文の補語,3
73,intermediate,4,question,noun,this,yellow,object,これ,指示代名詞,2
74,intermediate,4,question,noun,that,yellow,object,それ,指示代名詞,2

75,intermediate,4,past_tense,pronoun,I,green,subject,私,過去形主語,2
76,intermediate,4,past_tense,pronoun,You,green,subject,あなた,過去形主語,2
77,intermediate,4,past_tense,pronoun,He,green,subject,彼,過去形主語,3
78,intermediate,4,past_tense,pronoun,She,green,subject,彼女,過去形主語,3
79,intermediate,4,past_tense,pronoun,We,green,subject,私たち,過去形主語,3
80,intermediate,4,past_tense,pronoun,They,green,subject,彼ら,過去形主語,3

81,intermediate,4,past_tense,be-verb,was,green,verb,だった,過去のBe動詞,3
82,intermediate,4,past_tense,be-verb,were,green,verb,だった,過去のBe動詞複数,3

83,intermediate,4,past_tense,verb,played,green,verb,遊んだ,規則動詞過去形,3
84,intermediate,4,past_tense,verb,studied,green,verb,勉強した,規則動詞過去形,3
85,intermediate,4,past_tense,verb,watched,green,verb,見た,規則動詞過去形,3
86,intermediate,4,past_tense,verb,went,green,verb,行った,不規則動詞過去形,4
87,intermediate,4,past_tense,verb,came,green,verb,来た,不規則動詞過去形,4
88,intermediate,4,past_tense,verb,had,green,verb,持っていた,不規則動詞過去形,4

89,intermediate,4,past_tense,time,yesterday,green,object,昨日,過去時制マーカー,2
90,intermediate,4,past_tense,time,last week,green,object,先週,過去時制マーカー,3
91,intermediate,4,past_tense,time,last month,green,object,先月,過去時制マーカー,3

92,intermediate,4,past_tense,noun,breakfast,green,object,朝食,過去の動作対象,2
93,intermediate,4,past_tense,noun,lunch,green,object,昼食,過去の動作対象,2
94,intermediate,4,past_tense,noun,dinner,green,object,夕食,過去の動作対象,2
95,intermediate,4,past_tense,place,at the park,green,object,公園で,過去の場所,3
96,intermediate,4,past_tense,place,to school,green,object,学校へ,過去の場所,3

97,advanced,3,modal,modal,can,purple,verb,できる,可能性を表す助動詞,4
98,advanced,3,modal,modal,could,purple,verb,できた,過去の可能性,5
99,advanced,3,modal,modal,will,purple,verb,でしょう,未来を表す助動詞,4
100,advanced,3,modal,modal,would,purple,verb,でしょう,丁寧・仮定,5
101,advanced,3,modal,modal,should,purple,verb,すべき,義務・推奨,5
102,advanced,3,modal,modal,must,purple,verb,しなければならない,強い義務,5

103,advanced,3,perfect,auxiliary,have,purple,verb,持つ,現在完了助動詞,5
104,advanced,3,perfect,auxiliary,has,purple,verb,持つ,三人称単数現在完了,5
105,advanced,3,perfect,auxiliary,had,purple,verb,持っていた,過去完了,6

106,advanced,3,perfect,participle,been,purple,object,いた,Be動詞の過去分詞,5
107,advanced,3,perfect,participle,gone,purple,object,行った,Go動詞の過去分詞,5
108,advanced,3,perfect,participle,done,purple,object,した,Do動詞の過去分詞,5
109,advanced,3,perfect,participle,seen,purple,object,見た,See動詞の過去分詞,5

110,advanced,3,perfect,adverb,already,purple,object,すでに,完了副詞,4
111,advanced,3,perfect,adverb,yet,purple,object,まだ,完了副詞,4
112,advanced,3,perfect,adverb,just,purple,object,ちょうど,完了副詞,4
113,advanced,3,perfect,adverb,never,purple,object,決して,頻度副詞,4
114,advanced,3,perfect,adverb,always,purple,object,いつも,頻度副詞,3
