id,level,category,type,word,color,position,japanese,hint
85,intermediate,past_tense,past_verb,studied,green,verb,勉強した,規則動詞過去形
86,intermediate,past_tense,past_verb,watched,green,verb,見た,規則動詞過去形
87,intermediate,past_tense,past_verb,went,green,verb,行った,不規則動詞過去形
88,intermediate,past_tense,past_verb,came,green,verb,来た,不規則動詞過去形
89,intermediate,past_tense,past_verb,had,green,verb,持っていた,不規則動詞過去形
90,intermediate,past_tense,past_verb,did,green,verb,した,不規則動詞過去形
91,intermediate,past_tense,time_marker,yesterday,green,time,昨日,過去時制マーカー
92,intermediate,past_tense,time_marker,last week,green,time,先週,過去時制マーカー
93,intermediate,past_tense,time_marker,last month,green,time,先月,過去時制マーカー
94,intermediate,past_tense,time_marker,ago,green,time,前に,過去時制マーカー
95,intermediate,past_tense,time_marker,before,green,time,以前に,過去時制マーカー
96,intermediate,past_tense,noun,breakfast,green,object,朝食,過去の動作対象
97,intermediate,past_tense,noun,the movie,green,object,その映画,過去の動作対象
98,intermediate,past_tense,noun,homework,green,object,宿題,過去の動作対象
99,intermediate,past_tense,place,at the park,green,place,公園で,過去の場所
100,intermediate,past_tense,place,to school,green,place,学校へ,過去の場所

101,advanced,complex,modal,can,purple,modal,できる,可能性を表す助動詞
102,advanced,complex,modal,could,purple,modal,できた,過去の可能性
103,advanced,complex,modal,will,purple,modal,でしょう,未来を表す助動詞
104,advanced,complex,modal,would,purple,modal,でしょう,丁寧・仮定
105,advanced,complex,modal,should,purple,modal,すべき,義務・推奨
106,advanced,complex,modal,must,purple,modal,しなければならない,強い義務
107,advanced,complex,modal,may,purple,modal,かもしれない,許可・推量
108,advanced,complex,modal,might,purple,modal,かもしれない,弱い推量
109,advanced,complex,perfect,have,purple,auxiliary,持つ,現在完了助動詞
110,advanced,complex,perfect,has,purple,auxiliary,持つ,三人称単数現在完了
111,advanced,complex,perfect,had,purple,auxiliary,持っていた,過去完了
112,advanced,complex,participle,been,purple,participle,いた,Be動詞の過去分詞
113,advanced,complex,participle,gone,purple,participle,行った,Go動詞の過去分詞
114,advanced,complex,participle,done,purple,participle,した,Do動詞の過去分詞
115,advanced,complex,participle,seen,purple,participle,見た,See動詞の過去分詞
116,advanced,complex,participle,eaten,purple,participle,食べた,Eat動詞の過去分詞
117,advanced,complex,conjunction,and,purple,conjunction,そして,等位接続詞
118,advanced,complex,conjunction,but,purple,conjunction,しかし,逆接接続詞
119,advanced,complex,conjunction,or,purple,conjunction,または,選択接続詞
120,advanced,complex,conjunction,because,purple,conjunction,なぜなら,理由接続詞
121,advanced,complex,conjunction,when,purple,conjunction,時,時間接続詞
122,advanced,complex,conjunction,if,purple,conjunction,もし,条件接続詞
123,advanced,complex,conjunction,that,purple,conjunction,ということ,名詞節
124,advanced,complex,conjunction,which,purple,conjunction,どれ,関係代名詞
125,advanced,complex,conjunction,who,purple,conjunction,誰,関係代名詞
126,advanced,complex,adverb,already,purple,adverb,すでに,完了副詞
127,advanced,complex,adverb,yet,purple,adverb,まだ,完了副詞
128,advanced,complex,adverb,just,purple,adverb,ちょうど,完了副詞
129,advanced,complex,adverb,never,purple,adverb,決して,頻度副詞
130,advanced,complex,adverb,always,purple,adverb,いつも,頻度副詞
131,advanced,complex,comparative,bigger,purple,comparative,より大きい,比較級
132,advanced,complex,comparative,better,purple,comparative,より良い,比較級
133,advanced,complex,comparative,more beautiful,purple,comparative,より美しい,比較級
134,advanced,complex,superlative,biggest,purple,superlative,最も大きい,最上級
135,advanced,complex,superlative,best,purple,superlative,最も良い,最上級
136,advanced,complex,superlative,most beautiful,purple,superlative,最も美しい,最上級
137,advanced,complex,article,the,purple,article,その,定冠詞
138,advanced,complex,article,a,purple,article,ある,不定冠詞
139,advanced,complex,article,an,purple,article,ある,不定冠詞（母音前）
140,advanced,complex,quantifier,some,purple,quantifier,いくつかの,数量詞
141,advanced,complex,quantifier,any,purple,quantifier,いくつかの,数量詞（疑問・否定）
142,advanced,complex,quantifier,many,purple,quantifier,多くの,数量詞（可算）
143,advanced,complex,quantifier,much,purple,quantifier,多くの,数量詞（不可算）
144,advanced,complex,quantifier,few,purple,quantifier,少しの,数量詞（可算）
145,advanced,complex,quantifier,little,purple,quantifier,少しの,数量詞（不可算）
146,advanced,complex,phrasal,look at,purple,phrasal,見る,句動詞
147,advanced,complex,phrasal,turn on,purple,phrasal,つける,句動詞
148,advanced,complex,phrasal,turn off,purple,phrasal,消す,句動詞
149,advanced,complex,phrasal,get up,purple,phrasal,起きる,句動詞
150,advanced,complex,phrasal,sit down,purple,phrasal,座る,句動詞
