phoneme,audio_file,word_example,additional_examples,difficulty_level,phoneme_group,symbol_variations,spelling_patterns,common_words,teaching_strategy
/ɔ/,o.mp3,saw,"law,bought,caught,thought","3",short_vowels,"aw,au,ough,o","saw,cause,thought,dog","saw,law,bought,caught,thought,dog,log,frog","Rounded back vowel - lips form oval"
/p/,p.mp3,pen,"cup,happy,apple,stop","1",plosives,"p,pp","pen,happy","pen,cup,top,happy,apple,stop,help,jump","Voiceless bilabial stop - puff of air"
/b/,b.mp3,bag,"book,baby,rabbit,job","1",plosives,"b,bb","bag,rabbit","bag,book,baby,job,rabbit,table,about,probably","Voiced /p/ - vocal cords vibrate"
/t/,t.mp3,top,"cat,letter,sit,what","1",plosives,"t,tt,ed","top,letter,stopped","top,cat,sit,letter,what,stopped,better,little","Voiceless alveolar stop - tongue tip up"
/d/,d.mp3,dog,"red,middle,good,played","1",plosives,"d,dd,ed","dog,middle,played","dog,red,good,middle,played,added,under,world","Voiced /t/ - feel throat vibration"
/k/,k.mp3,cat,"back,key,school,quick","1",plosives,"c,k,ck,qu","cat,key,back,quick","cat,back,key,school,quick,black,like,take","Voiceless velar stop - back of tongue"
/g/,g.mp3,go,"big,egg,ghost,example","2",plosives,"g,gg,gh,x","go,egg,ghost,example","go,big,egg,dog,ghost,example,again,together","Voiced /k/ - vocal cords vibrate"
/f/,f.mp3,fish,"off,phone,laugh,rough","2",fricatives,"f,ff,ph,gh","fish,off,phone,laugh","fish,off,if,phone,laugh,rough,half,enough","Voiceless labiodental fricative"
/v/,v.mp3,van,"love,have,over,of","2",fricatives,"v,f","van,of","van,love,have,very,over,give,of,live","Voiced /f/ - lips vibrate"
/θ/,th.mp3,think,"three,both,nothing,mouth","4",fricatives,"th","think,three","think,three,both,with,nothing,mouth,thank,earth","Voiceless dental fricative - tongue between teeth"
/ð/,th.mp3,this,"the,mother,brother,breathe","4",fricatives,"th","this,the","this,the,that,mother,father,brother,other,weather","Voiced /θ/ - tongue between teeth with voice"
